config,weights,snapshot_hole,spearman,top10_prec,brier,round
none,0.0/0.0/0.0,6.0,0.5142021918198103,0.5848522689431781,0.08853317926571251,
none,0.0/0.0/0.0,9.0,0.5193275329475239,0.5989007204916296,0.08356806553827008,
none,0.0/0.0/0.0,12.0,0.5298641157947482,0.6166239063966338,0.07823726660441954,
none,0.0/0.0/0.0,15.0,0.5082883708858312,0.6539672448763358,0.07266956451914099,
none,0.0/0.0/0.0,18.0,0.4686928961526906,0.6663650743196198,0.06781823701120797,
none,0.0/0.0/0.0,,0.370442361446045,0.41638755184209736,0.0925398086893497,1.0
none,0.0/0.0/0.0,,0.5025380223653914,0.5530799503526775,0.07601978555667811,2.0
none,0.0/0.0/0.0,,0.6660046032358394,0.6971286289468108,0.08843814498861788,3.0
none,0.0/0.0/0.0,,0.4933150990332078,0.8299712408803315,0.048134888507317064,4.0
conservative,0.15/0.05/0.02,6.0,0.5193708345996694,0.5826139769321587,0.08827102083385191,
conservative,0.15/0.05/0.02,9.0,0.5196255742927461,0.5964350043895498,0.08308903708774112,
conservative,0.15/0.05/0.02,12.0,0.5290473199447443,0.6254472799927346,0.07771502341736694,
conservative,0.15/0.05/0.02,15.0,0.5117787965641557,0.6603722035540217,0.072253104064737,
conservative,0.15/0.05/0.02,18.0,0.4725627488659841,0.6738424454333546,0.0674332198505604,
conservative,0.15/0.05/0.02,,0.37597970978131295,0.4308991008991009,0.09148515770485201,1.0
conservative,0.15/0.05/0.02,,0.5099953308768834,0.5558048012593467,0.0756927571145686,2.0
conservative,0.15/0.05/0.02,,0.6631156860164351,0.6975993703266431,0.08839111081626015,3.0
conservative,0.15/0.05/0.02,,0.4928174927392085,0.8266654557563645,0.048254121261788616,4.0
moderate,0.25/0.1/0.03,6.0,0.5229672445332435,0.5779141313232222,0.08818298163036714,
moderate,0.25/0.1/0.03,9.0,0.5214160048046399,0.5916534223352404,0.08290623870566273,
moderate,0.25/0.1/0.03,12.0,0.5271611982644565,0.6196916719643992,0.0774868426766262,
moderate,0.25/0.1/0.03,15.0,0.5118599924274179,0.6667162383071474,0.0720720957360722,
moderate,0.25/0.1/0.03,18.0,0.47304841146425675,0.6678162746344566,0.06722150719800747,
moderate,0.25/0.1/0.03,,0.379808967523871,0.4291187600278509,0.09084654191262331,1.0
moderate,0.25/0.1/0.03,,0.5112511571901421,0.5475403384494294,0.07558454310769852,2.0
moderate,0.25/0.1/0.03,,0.6587295508681601,0.6972451790633609,0.08852328996422763,3.0
moderate,0.25/0.1/0.03,,0.49537260561303825,0.8251291133109313,0.04839587324878048,4.0
aggressive,0.4/0.2/0.08,6.0,0.5226888636452971,0.5750401114037478,0.0882477233851898,
aggressive,0.4/0.2/0.08,9.0,0.5166725776530242,0.593340750158932,0.0828214173242066,
aggressive,0.4/0.2/0.08,12.0,0.5292588089088465,0.6116633366633366,0.07734328044817927,
aggressive,0.4/0.2/0.08,15.0,0.5113950090203759,0.6700269427542155,0.07189298507314036,
aggressive,0.4/0.2/0.08,18.0,0.47456447820135816,0.6715057669603124,0.06688844515566626,
aggressive,0.4/0.2/0.08,,0.3885523806245016,0.4319837738019556,0.08966220049124221,1.0
aggressive,0.4/0.2/0.08,,0.5091908177884097,0.5494151303242212,0.0757127573085472,2.0
aggressive,0.4/0.2/0.08,,0.650456370056233,0.6913419913419914,0.0892218520195122,3.0
aggressive,0.4/0.2/0.08,,0.49546422147397723,0.8245206308842671,0.048697965684552855,4.0
