player_name,dk_american_odds,dk_decimal_odds,dk_implied_prob,dk_fair_prob,dk_fair_top10
Scottie Scheffler,495,5.95,0.168067,0.11430672046009158,0.72
Jon Rahm,910,10.1,0.09901,0.0673392658448932,0.5723837596815923
Rory McIlroy,1175,12.75,0.078431,0.053342954847801424,0.4534151162063121
Bryson DeChambeau,1050,11.5,0.086957,0.05914170831304292,0.5027045206608648
Ludvig Aberg,1650,17.5,0.057143,0.03886443458413021,0.3303476939651068
Xander Schauffele,1800,19.0,0.052632,0.035796386627092405,0.30426928633028544
Cameron Young,2300,24.0,0.041667,0.02833880607978149,0.2408798516781427
Tommy Fleetwood,2250,23.5,0.042553,0.02894139763152955,0.24600187986800118
Matt Fitzpatrick,2600,27.0,0.037037,0.02518982314005969,0.21411349669050736
Collin Morikawa,3100,32.0,0.03125,0.02125393452835989,0.18065844349105906
Justin Rose,3500,36.0,0.027778,0.018892537386520993,0.16058656778542843
Jordan Spieth,4200,43.0,0.023256,0.015817008044529204,0.13444456837849822
Brooks Koepka,3700,38.0,0.026316,0.017898193313546203,0.15213464316514272
Hideki Matsuyama,2700,28.0,0.035714,0.024290016567867046,0.2064651408268699
Patrick Cantlay,5800,59.0,0.016949,0.011527453962277496,0.09798335867935871
Max Homa,12000,121.0,0.008264,0.0056205604781557165,0.04777476406432359
Justin Thomas,5400,55.0,0.018182,0.012366049203028464,0.10511141822574195
Tyrrell Hatton,8200,83.0,0.012048,0.008194156902325759,0.06965033366976894
Sam Burns,7200,73.0,0.013699,0.009317044771328067,0.07919488055628857
Sungjae Im,11500,116.0,0.008621,0.0058633654262077,0.04983860612276545
Shane Lowry,6700,68.0,0.014706,0.010001931557569938,0.08501641823934447
Viktor Hovland,4500,46.0,0.021739,0.014785257046784503,0.12567468489766828
Cameron Smith,11000,111.0,0.009009,0.006127254277311816,0.052081661357150436
Corey Conners,8400,85.0,0.011765,0.00800168127123693,0.06801429080551391
Daniel Berger,12000,121.0,0.008264,0.0056205604781557165,0.04777476406432359
Brian Harman,22000,221.0,0.004525,0.0030775697197065123,0.026159342617505355
Akshay Bhatia,5600,57.0,0.017544,0.01193212887569747,0.1014230954434285
Robert MacIntyre,8500,86.0,0.011628,0.007908504022264602,0.06722228418924911
Keegan Bradley,14000,141.0,0.007092,0.004823452917604107,0.04099934979963491
Wyndham Clark,20000,201.0,0.004975,0.003383626376914895,0.028760824203776608
Sergio Garcia,25000,251.0,0.003984,0.0027096216051515454,0.023031783643788134
Si Woo Kim,5000,51.0,0.019608,0.013335908743426585,0.11335522431912597
Jason Day,6800,69.0,0.014493,0.009857064739824638,0.08378505028850942
Adam Scott,6000,61.0,0.016393,0.01114930395914892,0.09476908365276582
Davis Riley,82500,826.0,0.001211,0.0008236324708430025,0.007000876002165522
Bubba Watson,52500,526.0,0.001901,0.0012929193452291888,0.010989814434448105
Fred Couples,500000,5001.0,0.0002,0.00013602518098150332,0.0011562140383427782
Zach Johnson,55000,551.0,0.001815,0.0012344285174071424,0.01049264239796071
Charl Schwartzel,62500,626.0,0.001597,0.0010861610701373037,0.009232369096167082
Danny Willett,225000,2251.0,0.000444,0.00030197590177893734,0.0025667951651209674
Matt McCarty,28000,281.0,0.003559,0.0024205680955658514,0.020574828812309737
Nick Taylor,19000,191.0,0.005236,0.0035611392380957567,0.030269683523813932
Sepp Straka,7800,79.0,0.012658,0.008609033704319344,0.07317678648671443
Alex Noren,25000,251.0,0.003984,0.0027096216051515454,0.023031783643788134
Gary Woodland,12000,121.0,0.008264,0.0056205604781557165,0.04777476406432359
Dustin Johnson,25000,251.0,0.003984,0.0027096216051515454,0.023031783643788134
Ryan Fox,20000,201.0,0.004975,0.003383626376914895,0.028760824203776608
Rasmus Hojgaard,12000,121.0,0.008264,0.0056205604781557165,0.04777476406432359
Nicolai Hojgaard,7400,75.0,0.013333,0.009068118690131917,0.07707900886612129
Min Woo Lee,3400,35.0,0.028571,0.019431877229112653,0.16517095644745755
Aaron Rai,25000,251.0,0.003984,0.0027096216051515454,0.023031783643788134
Jake Knapp,6500,66.0,0.015152,0.01030526771115869,0.08759477554484887
Kurt Kitayama,9400,95.0,0.010526,0.007159005275056519,0.06085154483798041
Tom McKibbin,29000,291.0,0.003436,0.0023369126092622266,0.019863757178728927
Chris Gotterup,25000,251.0,0.003984,0.0027096216051515454,0.023031783643788134
Harris English,10000,101.0,0.009901,0.006733926584489321,0.05723837596815923
Ben Griffin,11000,111.0,0.009009,0.006127254277311816,0.052081661357150436
Sahith Theegala,12000,121.0,0.008264,0.0056205604781557165,0.04777476406432359
Matthew Fitzpatrick,2350,24.5,0.040816,0.027760018934705193,0.23596016094499414
Robert Macintyre,3500,36.0,0.027778,0.018892537386520993,0.16058656778542843
Patrick Reed,4300,44.0,0.022727,0.015457221440833127,0.13138638224708157
Christopher Gotterup,4300,44.0,0.022727,0.015457221440833127,0.13138638224708157
Russell Henley,4700,48.0,0.020833,0.014169062976938292,0.12043703530397548
J. J. Spaun,6900,70.0,0.014286,0.00971627867750878,0.08258836875882464
Maverick Mcnealy,7800,79.0,0.012658,0.008609033704319344,0.07317678648671443
Jacob Bridgeman,8400,85.0,0.011765,0.00800168127123693,0.06801429080551391
Marco Penge,14500,146.0,0.006849,0.004658182322711581,0.039594549743048435
Harry Hall,15500,156.0,0.00641,0.004359607050457181,0.037056659928886036
Ryan Gerard,15500,156.0,0.00641,0.004359607050457181,0.037056659928886036
Alexander Noren,16000,161.0,0.006211,0.004224261995380585,0.03590622696073498
Sam Stevens,17500,176.0,0.005682,0.003864475391684509,0.032848040829318324
Michael Kim,21000,211.0,0.004739,0.003223116663356721,0.02739649163853213
Max Greyserman,21000,211.0,0.004739,0.003223116663356721,0.02739649163853213
Kristoffer Reitan,22500,226.0,0.004425,0.0030095571292157604,0.025581235598333963
Casey Jarvis,23000,231.0,0.004329,0.0029442650423446392,0.025026252859929432
Carlos Ortiz,23000,231.0,0.004329,0.0029442650423446392,0.025026252859929432
Haotong Li,27500,276.0,0.003623,0.002464096153479932,0.02094481730457942
Andrew Novak,29000,291.0,0.003436,0.0023369126092622266,0.019863757178728927
Rasmus Neergaard-Petersen,32000,321.0,0.003115,0.002118592193786914,0.018008033647188768
Nico Echavarria,32500,326.0,0.003067,0.002085946150351353,0.0177305422779865
Aldrich Potgieter,36000,361.0,0.00277,0.0018839487565938207,0.016013564431047476
Sami Välimäki,37000,371.0,0.002695,0.001832939313725757,0.015579984166668934
John Keefer,37000,371.0,0.002695,0.001832939313725757,0.015579984166668934
Michael Brennan,40000,401.0,0.002494,0.0016962340068393462,0.014417989058134443
Mason Howell,200000,2001.0,0.0005,0.00034006295245375825,0.0028905350958569453
Angel Cabrera,300000,3001.0,0.000333,0.000226481926334203,0.0019250963738407256
Ben Campbell,325000,3251.0,0.000308,0.00020947877871151509,0.0017805696190478781
Ethan Fang,325000,3251.0,0.000308,0.00020947877871151509,0.0017805696190478781
Pongsapak Laopakdee,350000,3501.0,0.000286,0.00019451600880354973,0.0016533860748301726
Naoyuki Kataoka,450000,4501.0,0.000222,0.00015098795088946867,0.0012833975825604837
Brandon Wu,500000,5001.0,0.0002,0.00013602518098150332,0.0011562140383427782
Vijay Singh,500000,5001.0,0.0002,0.00013602518098150332,0.0011562140383427782
Mike Weir,500000,5001.0,0.0002,0.00013602518098150332,0.0011562140383427782
Jose Maria Olazábal,500000,5001.0,0.0002,0.00013602518098150332,0.0011562140383427782
Mateo Pulcini,500000,5001.0,0.0002,0.00013602518098150332,0.0011562140383427782
Jackson Herrington,500000,5001.0,0.0002,0.00013602518098150332,0.0011562140383427782
